Date,Time,Booking ID,Booking Status,Customer ID,Vehicle Type,Pickup Location,Drop Location,Avg VTAT,Avg CTAT,Cancelled Rides by Customer,Cancelled Rides by Driver,Incomplete Rides,Booking Value,Payment Method,Ride Distance,Driver Ratings,Customer Rating,Datetime,Hour,DayOfWeek,WeekType,Is_Cancelled,Cancellation_Type,Unified_Reason
1/26/2024,3:00:00,CNR2871422,Cancelled by Driver,201414,Mini,Area-7,Area-6,,,0,1,0,,,,,,2024-01-26 03:00:00,3,Friday,Weekday,True,Driver,The customer was coughing/sick
1/15/2024,16:00:00,CNR6875935,Cancelled by Driver,301629,Bike,Area-40,Area-24,,,0,1,0,,,,,,2024-01-15 16:00:00,16,Monday,Weekday,True,Driver,Personal & Car related issues
1/2/2024,22:00:00,CNR6798834,Cancelled by Driver,319684,Prime Sedan,Area-11,Area-24,,,0,1,0,,,,,,2024-01-02 22:00:00,22,Tuesday,Weekday,True,Driver,The customer was coughing/sick
1/30/2024,22:00:00,CNR9661713,Incomplete,330283,Bike,Area-41,Area-45,,,0,0,1,,,,,,2024-01-30 22:00:00,22,Tuesday,Weekday,True,Incomplete,Other Issue
1/14/2024,20:00:00,CNR8720322,Incomplete,787277,Prime Plus,Area-46,Area-21,,,0,0,1,,,,,,2024-01-14 20:00:00,20,Sunday,Weekend,True,Incomplete,Vehicle Breakdown
1/11/2024,5:00:00,CNR0890407,Cancelled by Driver,676510,Mini,Area-9,Area-43,,,0,1,0,,,,,,2024-01-11 05:00:00,5,Thursday,Weekday,True,Driver,Customer related issue
1/1/2024,7:00:00,CNR0629802,Cancelled by Customer,858490,Prime Plus,Area-14,Area-35,,,1,0,0,,,,,,2024-01-01 07:00:00,7,Monday,Weekday,True,Customer,Wrong Address
1/3/2024,12:00:00,CNR1039726,Cancelled by Customer,610311,eBike,Area-36,Area-43,,,1,0,0,,,,,,2024-01-03 12:00:00,12,Wednesday,Weekday,True,Customer,Driver asked to cancel
1/25/2024,16:00:00,CNR5645592,Cancelled by Customer,237235,Mini,Area-16,Area-17,,,1,0,0,,,,,,2024-01-25 16:00:00,16,Thursday,Weekday,True,Customer,AC is not working
1/18/2024,16:00:00,CNR4542495,Cancelled by Customer,600149,Mini,Area-49,Area-37,,,1,0,0,,,,,,2024-01-18 16:00:00,16,Thursday,Weekday,True,Customer,Driver is not moving towards pickup location
1/16/2024,0:00:00,CNR2388577,Cancelled by Driver,557007,Prime Sedan,Area-32,Area-15,,,0,1,0,,,,,,2024-01-16 00:00:00,0,Tuesday,Weekday,True,Driver,More than permitted people in there
1/17/2024,22:00:00,CNR9158263,Cancelled by Customer,143064,Prime SUV,Area-8,Area-37,,,1,0,0,,,,,,2024-01-17 22:00:00,22,Wednesday,Weekday,True,Customer,AC is not working
1/23/2024,17:00:00,CNR4353881,Incomplete,260422,eBike,Area-41,Area-30,,,0,0,1,,,,,,2024-01-23 17:00:00,17,Tuesday,Weekday,True,Incomplete,Vehicle Breakdown
1/8/2024,12:00:00,CNR7928544,Cancelled by Customer,357420,Prime SUV,Area-18,Area-21,,,1,0,0,,,,,,2024-01-08 12:00:00,12,Monday,Weekday,True,Customer,Driver is not moving towards pickup location
1/16/2024,0:00:00,CNR7221115,Cancelled by Driver,874483,Prime Plus,Area-12,Area-13,,,0,1,0,,,,,,2024-01-16 00:00:00,0,Tuesday,Weekday,True,Driver,More than permitted people in there
1/9/2024,3:00:00,CNR9588274,Cancelled by Driver,102689,Prime SUV,Area-33,Area-18,,,0,1,0,,,,,,2024-01-09 03:00:00,3,Tuesday,Weekday,True,Driver,The customer was coughing/sick
1/13/2024,17:00:00,CNR8568443,Cancelled by Driver,297816,Prime Sedan,Area-25,Area-30,,,0,1,0,,,,,,2024-01-13 17:00:00,17,Saturday,Weekend,True,Driver,Customer related issue
1/25/2024,9:00:00,CNR3843493,Incomplete,138817,Mini,Area-42,Area-10,,,0,0,1,,,,,,2024-01-25 09:00:00,9,Thursday,Weekday,True,Incomplete,Customer Demand
1/25/2024,12:00:00,CNR2608308,Cancelled by Driver,620856,eBike,Area-4,Area-39,,,0,1,0,,,,,,2024-01-25 12:00:00,12,Thursday,Weekday,True,Driver,The customer was coughing/sick
1/10/2024,19:00:00,CNR6366676,Cancelled by Driver,777737,eBike,Area-41,Area-7,,,0,1,0,,,,,,2024-01-10 19:00:00,19,Wednesday,Weekday,True,Driver,Personal & Car related issues
1/5/2024,21:00:00,CNR4072663,Cancelled by Driver,929090,Auto,Area-36,Area-24,,,0,1,0,,,,,,2024-01-05 21:00:00,21,Friday,Weekday,True,Driver,More than permitted people in there
1/30/2024,21:00:00,CNR3419340,Cancelled by Driver,489033,Mini,Area-9,Area-25,,,0,1,0,,,,,,2024-01-30 21:00:00,21,Tuesday,Weekday,True,Driver,More than permitted people in there
1/18/2024,23:00:00,CNR5747515,Incomplete,790909,Prime SUV,Area-3,Area-47,,,0,0,1,,,,,,2024-01-18 23:00:00,23,Thursday,Weekday,True,Incomplete,Other Issue
1/13/2024,20:00:00,CNR4904464,Cancelled by Driver,737846,Prime Sedan,Area-5,Area-6,,,0,1,0,,,,,,2024-01-13 20:00:00,20,Saturday,Weekend,True,Driver,Customer related issue
1/29/2024,5:00:00,CNR4642531,Cancelled by Customer,799539,Bike,Area-38,Area-32,,,1,0,0,,,,,,2024-01-29 05:00:00,5,Monday,Weekday,True,Customer,AC is not working
1/20/2024,4:00:00,CNR9516594,Cancelled by Driver,629057,Auto,Area-22,Area-46,,,0,1,0,,,,,,2024-01-20 04:00:00,4,Saturday,Weekend,True,Driver,Customer related issue
1/15/2024,5:00:00,CNR0693661,Cancelled by Customer,494976,Bike,Area-6,Area-20,,,1,0,0,,,,,,2024-01-15 05:00:00,5,Monday,Weekday,True,Customer,AC is not working
1/19/2024,22:00:00,CNR6772297,Cancelled by Driver,698128,eBike,Area-13,Area-24,,,0,1,0,,,,,,2024-01-19 22:00:00,22,Friday,Weekday,True,Driver,More than permitted people in there
1/20/2024,16:00:00,CNR7754116,Cancelled by Driver,489244,Mini,Area-4,Area-42,,,0,1,0,,,,,,2024-01-20 16:00:00,16,Saturday,Weekend,True,Driver,Personal & Car related issues
1/23/2024,0:00:00,CNR8272914,Incomplete,127965,Prime Sedan,Area-15,Area-29,,,0,0,1,,,,,,2024-01-23 00:00:00,0,Tuesday,Weekday,True,Incomplete,Vehicle Breakdown
1/3/2024,6:00:00,CNR3330230,Cancelled by Customer,140163,Prime Plus,Area-22,Area-10,,,1,0,0,,,,,,2024-01-03 06:00:00,6,Wednesday,Weekday,True,Customer,AC is not working
